09-29-2025 14:33:35 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@883,0%@729,0%@729,0%@729,0%@883,0%@883,0%@883,0%@883,off,off,off,off] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.343C soc2@40C soc0@40.5C gpu@39.406C tj@43.343C soc1@39.875C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 1199mW/1199mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,14%@729,14%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 16%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.406C soc2@40C soc0@40.468C gpu@39.531C tj@43.406C soc1@39.875C VDD_GPU_SOC 2399mW/2698mW VDD_CPU_CV 799mW/866mW VIN_SYS_5V0 3321mW/3363mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 15%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C soc2@39.968C soc0@40.656C gpu@39.562C tj@43.031C soc1@39.937C VDD_GPU_SOC 2399mW/2675mW VDD_CPU_CV 399mW/830mW VIN_SYS_5V0 3321mW/3359mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C soc2@39.968C soc0@40.5C gpu@39.312C tj@43.031C soc1@40.062C VDD_GPU_SOC 2399mW/2656mW VDD_CPU_CV 399mW/799mW VIN_SYS_5V0 3321mW/3357mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [14%@1728,0%@729,0%@729,0%@729,14%@729,0%@729,25%@729,0%@729,off,off,off,off] EMC_FREQ 14%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.281C soc2@40.031C soc0@40.468C gpu@39.312C tj@43.281C soc1@39.843C VDD_GPU_SOC 2399mW/2638mW VDD_CPU_CV 399mW/772mW VIN_SYS_5V0 3321mW/3354mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [11%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 13%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.093C soc2@39.968C soc0@40.437C gpu@39.468C tj@43.093C soc1@39.937C VDD_GPU_SOC 2399mW/2623mW VDD_CPU_CV 399mW/749mW VIN_SYS_5V0 3321mW/3352mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 12%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.218C soc2@40C soc0@40.406C gpu@39.562C tj@43.218C soc1@39.812C VDD_GPU_SOC 2399mW/2610mW VDD_CPU_CV 399mW/728mW VIN_SYS_5V0 3315mW/3350mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 12%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.156C soc2@40C soc0@40.562C gpu@39.312C tj@43.156C soc1@39.812C VDD_GPU_SOC 2399mW/2599mW VDD_CPU_CV 399mW/710mW VIN_SYS_5V0 3215mW/3343mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,25%@729,0%@729,0%@729,0%@729,14%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.312C soc2@39.875C soc0@40.562C gpu@39.375C tj@43.312C soc1@39.812C VDD_GPU_SOC 2399mW/2588mW VDD_CPU_CV 399mW/694mW VIN_SYS_5V0 3215mW/3336mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,16%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.968C soc2@39.968C soc0@40.593C gpu@39.406C tj@42.968C soc1@39.875C VDD_GPU_SOC 2399mW/2579mW VDD_CPU_CV 399mW/679mW VIN_SYS_5V0 3215mW/3330mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,14%@729,14%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.093C soc2@39.937C soc0@40.375C gpu@39.5C tj@43.093C soc1@39.937C VDD_GPU_SOC 2399mW/2570mW VDD_CPU_CV 399mW/666mW VIN_SYS_5V0 3215mW/3324mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.968C soc2@39.968C soc0@40.468C gpu@39.281C tj@42.968C soc1@40C VDD_GPU_SOC 2399mW/2562mW VDD_CPU_CV 399mW/654mW VIN_SYS_5V0 3215mW/3319mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,14%@729,0%@729,0%@729,0%@729,16%@729,0%@729,off,off,off,off] EMC_FREQ 9%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.156C soc2@40C soc0@40.437C gpu@39.312C tj@43.156C soc1@39.812C VDD_GPU_SOC 2399mW/2555mW VDD_CPU_CV 399mW/642mW VIN_SYS_5V0 3215mW/3315mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 9%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.218C soc2@40C soc0@40.5C gpu@39.312C tj@43.218C soc1@39.812C VDD_GPU_SOC 2399mW/2549mW VDD_CPU_CV 399mW/632mW VIN_SYS_5V0 3215mW/3311mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [14%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,14%@729,0%@729,off,off,off,off] EMC_FREQ 8%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.937C soc2@40C soc0@40.593C gpu@39.218C tj@42.937C soc1@39.812C VDD_GPU_SOC 2399mW/2543mW VDD_CPU_CV 399mW/623mW VIN_SYS_5V0 3215mW/3307mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,16%@729,0%@729,off,off,off,off] EMC_FREQ 8%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.281C soc2@39.968C soc0@40.593C gpu@39.218C tj@42.937C soc1@39.906C VDD_GPU_SOC 2399mW/2537mW VDD_CPU_CV 399mW/614mW VIN_SYS_5V0 3215mW/3303mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [14%@1728,0%@729,0%@729,28%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 8%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.906C soc2@39.968C soc0@40.468C gpu@39.312C tj@42.906C soc1@40C VDD_GPU_SOC 2399mW/2532mW VDD_CPU_CV 399mW/606mW VIN_SYS_5V0 3215mW/3300mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 7%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C soc2@39.937C soc0@40.343C gpu@39.375C tj@43.031C soc1@39.968C VDD_GPU_SOC 2399mW/2527mW VDD_CPU_CV 399mW/599mW VIN_SYS_5V0 3215mW/3297mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.187C soc2@39.937C soc0@40.437C gpu@39.562C tj@43.187C soc1@39.812C VDD_GPU_SOC 2399mW/2523mW VDD_CPU_CV 399mW/592mW VIN_SYS_5V0 3215mW/3294mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 7%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.062C soc2@39.968C soc0@40.531C gpu@39.281C tj@43.031C soc1@39.875C VDD_GPU_SOC 2399mW/2519mW VDD_CPU_CV 399mW/586mW VIN_SYS_5V0 3215mW/3292mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,25%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.406C soc2@39.968C soc0@40.406C gpu@39.25C tj@43.406C soc1@39.906C VDD_GPU_SOC 2399mW/2515mW VDD_CPU_CV 399mW/580mW VIN_SYS_5V0 3215mW/3289mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 6%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.937C soc2@39.937C soc0@40.375C gpu@39.5C tj@42.937C soc1@40.031C VDD_GPU_SOC 2399mW/2511mW VDD_CPU_CV 399mW/574mW VIN_SYS_5V0 3215mW/3287mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,33%@729,off,off,off,off] EMC_FREQ 6%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.062C soc2@39.968C soc0@40.406C gpu@39.187C tj@43.062C soc1@39.75C VDD_GPU_SOC 2399mW/2508mW VDD_CPU_CV 399mW/569mW VIN_SYS_5V0 3215mW/3285mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,14%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 6%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C soc2@39.937C soc0@40.5C gpu@39.25C tj@43.031C soc1@39.781C VDD_GPU_SOC 2399mW/2505mW VDD_CPU_CV 399mW/564mW VIN_SYS_5V0 3215mW/3283mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,14%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 6%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.062C soc2@39.937C soc0@40.5C gpu@39.218C tj@43.062C soc1@39.875C VDD_GPU_SOC 2399mW/2502mW VDD_CPU_CV 399mW/559mW VIN_SYS_5V0 3215mW/3281mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.937C soc2@40C soc0@40.531C gpu@39.406C tj@42.937C soc1@39.812C VDD_GPU_SOC 2399mW/2499mW VDD_CPU_CV 399mW/555mW VIN_SYS_5V0 3215mW/3279mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,20%@729,0%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.968C soc2@39.906C soc0@40.406C gpu@39.218C tj@42.968C soc1@39.937C VDD_GPU_SOC 2399mW/2496mW VDD_CPU_CV 399mW/550mW VIN_SYS_5V0 3215mW/3277mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.906C soc2@39.937C soc0@40.437C gpu@39.187C tj@42.906C soc1@39.937C VDD_GPU_SOC 2399mW/2494mW VDD_CPU_CV 399mW/546mW VIN_SYS_5V0 3215mW/3275mW
09-29-2025 14:33:37 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,25%@729,0%@729,0%@729,25%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43C soc2@39.937C soc0@40.406C gpu@39.312C tj@43C soc1@39.812C VDD_GPU_SOC 2399mW/2491mW VDD_CPU_CV 399mW/543mW VIN_SYS_5V0 3215mW/3274mW
09-29-2025 14:33:38 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,14%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.25C soc2@40C soc0@40.437C gpu@39.25C tj@43.25C soc1@39.812C VDD_GPU_SOC 2399mW/2489mW VDD_CPU_CV 399mW/539mW VIN_SYS_5V0 3215mW/3272mW
09-29-2025 14:33:38 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 4%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.093C soc2@39.968C soc0@40.531C gpu@39.125C tj@42.968C soc1@39.843C VDD_GPU_SOC 2399mW/2487mW VDD_CPU_CV 399mW/536mW VIN_SYS_5V0 3215mW/3271mW
09-29-2025 14:33:38 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [14%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 4%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.187C soc2@40.031C soc0@40.625C gpu@39.187C tj@43.187C soc1@39.875C VDD_GPU_SOC 2399mW/2484mW VDD_CPU_CV 399mW/532mW VIN_SYS_5V0 3215mW/3270mW
09-29-2025 14:33:38 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 4%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43C soc2@39.906C soc0@40.625C gpu@39.187C tj@43C soc1@39.906C VDD_GPU_SOC 2399mW/2483mW VDD_CPU_CV 399mW/529mW VIN_SYS_5V0 3215mW/3268mW
09-29-2025 14:33:38 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [25%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.062C soc2@39.875C soc0@40.375C gpu@39.312C tj@43.062C soc1@39.968C VDD_GPU_SOC 2399mW/2481mW VDD_CPU_CV 399mW/526mW VIN_SYS_5V0 3215mW/3267mW
