10-06-2025 13:17:16 RAM 14366/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,3%@1574,0%@1574,0%@1574,0%@729,0%@729,3%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.843C soc2@34.75C soc0@35.406C gpu@34.375C tj@37.843C soc1@34.875C VDD_GPU_SOC 2399mW/2399mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2612mW/2612mW
10-06-2025 13:17:28 RAM 14369/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [22%@1728,19%@729,18%@729,20%@729,18%@1190,32%@1190,54%@1190,22%@1190,off,off,off,off] EMC_FREQ 7%@665 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@38.031C soc2@34.843C soc0@35.312C gpu@34.187C tj@38.031C soc1@34.718C VDD_GPU_SOC 3198mW/2365mW VDD_CPU_CV 799mW/466mW VIN_SYS_5V0 3321mW/2613mW
10-06-2025 13:17:29 RAM 14369/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [33%@1728,14%@729,10%@729,12%@729,8%@729,26%@729,10%@729,13%@729,off,off,off,off] EMC_FREQ 21%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.968C soc2@34.781C soc0@35.312C gpu@33.968C tj@37.968C soc1@34.781C VDD_GPU_SOC 2798mW/2399mW VDD_CPU_CV 399mW/461mW VIN_SYS_5V0 2813mW/2628mW
10-06-2025 13:17:30 RAM 14369/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,2%@729,1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 9%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@38.093C soc2@34.75C soc0@35.375C gpu@34.093C tj@38.093C soc1@34.875C VDD_GPU_SOC 2399mW/2399mW VDD_CPU_CV 399mW/456mW VIN_SYS_5V0 2512mW/2620mW
10-06-2025 13:17:31 RAM 14369/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@729,1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 4%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.906C soc2@34.687C soc0@35.406C gpu@34.093C tj@37.906C soc1@34.781C VDD_GPU_SOC 1999mW/2372mW VDD_CPU_CV 399mW/452mW VIN_SYS_5V0 2411mW/2606mW
10-06-2025 13:17:32 RAM 14370/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,8%@729,0%@729,0%@729,0%@1296,0%@729,2%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.781C soc2@34.781C soc0@35.218C gpu@34.093C tj@37.781C soc1@34.906C VDD_GPU_SOC 1999mW/2349mW VDD_CPU_CV 399mW/449mW VIN_SYS_5V0 2512mW/2600mW
10-06-2025 13:17:33 RAM 14370/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,9%@729,1%@729,1%@729,2%@729,3%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@38.031C soc2@34.75C soc0@35.312C gpu@34.093C tj@38.031C soc1@34.812C VDD_GPU_SOC 1999mW/2328mW VDD_CPU_CV 399mW/446mW VIN_SYS_5V0 2411mW/2589mW
10-06-2025 13:17:34 RAM 14370/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.656C soc2@34.75C soc0@35.437C gpu@34.093C tj@37.656C soc1@34.843C VDD_GPU_SOC 1999mW/2310mW VDD_CPU_CV 399mW/443mW VIN_SYS_5V0 2512mW/2585mW
10-06-2025 13:17:35 RAM 14370/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.687C soc2@34.687C soc0@35.218C gpu@34.093C tj@37.687C soc1@34.937C VDD_GPU_SOC 1999mW/2294mW VDD_CPU_CV 399mW/441mW VIN_SYS_5V0 2411mW/2576mW
10-06-2025 13:17:36 RAM 14370/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.781C soc2@34.75C soc0@35.281C gpu@34.093C tj@37.781C soc1@34.75C VDD_GPU_SOC 1999mW/2279mW VDD_CPU_CV 399mW/439mW VIN_SYS_5V0 2411mW/2567mW
10-06-2025 13:17:37 RAM 14370/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,3%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.75C soc2@34.718C soc0@35.312C gpu@34.093C tj@37.906C soc1@34.75C VDD_GPU_SOC 1999mW/2265mW VDD_CPU_CV 399mW/437mW VIN_SYS_5V0 2411mW/2560mW
10-06-2025 13:17:38 RAM 14369/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,10%@729,2%@729,1%@729,6%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.656C soc2@34.75C soc0@35.281C gpu@34.093C tj@37.656C soc1@34.781C VDD_GPU_SOC 1999mW/2253mW VDD_CPU_CV 399mW/435mW VIN_SYS_5V0 2411mW/2553mW
10-06-2025 13:17:39 RAM 14369/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,2%@729,1%@729,2%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.75C soc2@34.781C soc0@35.281C gpu@34.093C tj@37.75C soc1@34.906C VDD_GPU_SOC 1999mW/2242mW VDD_CPU_CV 399mW/434mW VIN_SYS_5V0 2512mW/2551mW
